No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,DEWP,PRES,RAIN,WSPM,station,,TEMP mean,PRES mean,DEWP mean,RAIN mean,WSPM mean,,TEMP std,PRES std,DEWP std,RAIN std,WSPM std
33673,2017,1,2,0,505,550,6,157,9500,8,-5.4,-8.5,1015.8,0,0.4,Changping,,,,,,,,,,,,
33674,2017,1,2,1,491,518,7,152,9900,7,-5.6,-9.2,1015.7,0,0.9,Changping,,,,,,,,,,,,
33677,2017,1,2,4,95,95,16,70,2500,4,-1.2,-11.9,1016.3,0,1.2,Changping,,,,,,,,,,,,
33678,2017,1,2,5,16,16,17,38,1100,20,2.1,-12.5,1016.1,0,2.3,Changping,,,,,,,,,,,,
33679,2017,1,2,6,18,18,16,39,1000,26,1.5,-12.7,1016.2,0,1.6,Changping,,,,,,,,,,,,
33680,2017,1,2,7,12,12,12,32,800,35,1.5,-12.7,1016.9,0,2.1,Changping,,,,,,,,,,,,
33681,2017,1,2,8,12,12,15,42,900,28,1.3,-12.5,1017.4,0,2.4,Changping,,,,,,,,,,,,
33682,2017,1,2,9,18,18,14,36,900,36,2.3,-12.7,1017.9,0,2.3,Changping,,,,,,,,,,,,
33683,2017,1,2,10,14,14,13,30,800,43,5,-12.5,1018.2,0,2,Changping,,,,,,,,,,,,
33684,2017,1,2,11,15,15,10,23,600,48,6.7,-12.5,1018,0,1.5,Changping,,,,,,,,,,,,
33685,2017,1,2,12,14,14,8,19,500,49,8.1,-13,1016.8,0,0.7,Changping,,,,,,,,,,,,
33686,2017,1,2,13,23,23,11,31,600,45,8.9,-11.2,1015.9,0,2.9,Changping,,,,,,,,,,,,
33687,2017,1,2,14,24,24,14,40,800,44,9.3,-12.6,1015.2,0,2.7,Changping,,,,,,,,,,,,
33688,2017,1,2,15,83,142,14,55,1600,59,8,-9.4,1014.7,0,3.1,Changping,,,,,,,,,,,,
33689,2017,1,2,16,181,223,20,95,3200,49,6.2,-7.8,1014.9,0,2,Changping,,,,,,,,,,,,
33690,2017,1,2,17,209,225,20,106,3600,41,4.4,-7.7,1015,0,3,Changping,,,,,,,,,,,,
33691,2017,1,2,18,199,199,17,102,3500,37,3.4,-8.3,1015.4,0,2.1,Changping,,,,,,,,,,,,
33692,2017,1,2,19,186,186,17,105,3300,25,2.3,-8.7,1015.6,0,1.1,Changping,,,,,,,,,,,,
33693,2017,1,2,20,189,189,14,122,3600,9,-0.8,-9.2,1015.6,0,0.7,Changping,,,,,,,,,,,,
33694,2017,1,2,21,195,195,11,120,3800,6,-1.6,-9.2,1015.7,0,1.8,Changping,,,,,,,,,,,,
33695,2017,1,2,22,189,189,12,112,4000,5,-2.3,-9.5,1015.7,0,1,Changping,,,,,,,,,,,,
33696,2017,1,2,23,203,215,13,116,4700,5,-2.8,-9.5,1015.4,0,1,Changping,,,,,,,,,,,,
33697,2017,1,3,0,183,183,12,94,3700,6,-2.9,-9.6,1015.2,0,0.8,Changping,,,,,,,,,,,,
33698,2017,1,3,1,280,283,20,91,6300,7,-3.2,-9.5,1014.9,0,1.9,Changping,,,,,,,,,,,,
33699,2017,1,3,2,224,224,44,53,3600,2,-4.2,-9.6,1014.7,0,0.9,Changping,,,,,,,,,,,,
33700,2017,1,3,3,160,160,10,43,2400,2,-4.3,-9.5,1014.6,0,0.6,Changping,,,,,,,,,,,,
33701,2017,1,3,4,143,143,2,23,1100,59,-3.9,-9.9,1014.1,0,1.4,Changping,,,,,,,,,,,,
33702,2017,1,3,5,137,137,5,73,2600,4,-3.8,-9.8,1013.5,0,2.3,Changping,,,,,,,,,,,,
33703,2017,1,3,6,141,141,10,84,3600,4,-4.4,-10,1013.2,0,1.3,Changping,,,,,,,,,,,,
33704,2017,1,3,7,139,139,6,76,3400,4,-5.2,-10,1013.5,0,0.7,Changping,,,,,,,,,,,,
33705,2017,1,3,8,156,163,3,75,4100,4,-5.3,-9.7,1013.9,0,1.2,Changping,,,,,,,,,,,,
33706,2017,1,3,9,175,181,7,83,4400,5,-4.2,-9,1014.3,0,0.6,Changping,,,,,,,,,,,,
33707,2017,1,3,10,206,339,32,112,6300,6,-0.4,-7.7,1014.3,0,1.7,Changping,,,,,,,,,,,,
33708,2017,1,3,11,266,266,46,141,5800,4,1.6,-7.7,1013.9,0,1.5,Changping,,,,,,,,,,,,
33709,2017,1,3,12,249,249,48,146,5000,5,4.2,-7.6,1012.7,0,1.3,Changping,,,,,,,,,,,,
33710,2017,1,3,13,249,271,49,157,5100,7,6.2,-7.4,1011.4,0,1.3,Changping,,,,,,,,,,,,
33711,2017,1,3,14,236,236,44,145,4400,10,8.3,-7.5,1010.6,0,1.7,Changping,,,,,,,,,,,,
33712,2017,1,3,15,195,211,42,130,3700,16,9.8,-7.4,1010.4,0,1.5,Changping,,,,,,,,,,,,
33713,2017,1,3,16,197,210,48,136,3900,15,8.6,-7.6,1010.8,0,2.4,Changping,,,,,,,,,,,,
33714,2017,1,3,17,201,208,29,139,3700,9,6.6,-7.4,1011.6,0,1.4,Changping,,,,,,,,,,,,
33715,2017,1,3,18,199,206,20,145,3800,4,3.8,-7.7,1012.5,0,0.6,Changping,,,,,,,,,,,,
33716,2017,1,3,19,192,192,23,131,3600,5,2,-7.6,1013.5,0,0.6,Changping,,,,,,,,,,,,
33717,2017,1,3,20,194,222,16,128,3800,6,0.4,-7.6,1014.3,0,0.5,Changping,,,,,,,,,,,,
33718,2017,1,3,21,329,410,9,191,6400,5,-1.1,-7.9,1014.5,0,0.6,Changping,,,,,,,,,,,,
33719,2017,1,3,22,385,385,8,195,7000,5,-1.6,-7.5,1015,0,0.7,Changping,,,,,,,,,,,,
33720,2017,1,3,23,295,295,7,147,5900,4,-1.9,-8.4,1015.1,0,0.3,Changping,,,,,,,,,,,,
33722,2017,1,4,1,416,416,12,157,9700,7,-2.6,-8.1,1015.7,0,0.5,Changping,,,,,,,,,,,,
33723,2017,1,4,2,353,353,10,150,8500,5,-3,-8.5,1015.8,0,1.7,Changping,,,,,,,,,,,,
33724,2017,1,4,3,293,293,7,135,7300,4,-3.7,-8.6,1016,0,0.4,Changping,,,,,,,,,,,,
33725,2017,1,4,4,237,237,6,118,6400,4,-4.2,-8.7,1016,0,0.3,Changping,,,,,,,,,,,,
33726,2017,1,4,5,218,218,7,118,6400,4,-4.2,-8.9,1016,0,0.8,Changping,,,,,,,,,,,,
33727,2017,1,4,6,212,212,9,128,6500,4,-4,-9.4,1015.8,0,1.7,Changping,,,,,,,,,,,,
33728,2017,1,4,7,172,197,13,107,6200,5,-4.6,-9.4,1016.2,0,1.4,Changping,,,,,,,,,,,,
33729,2017,1,4,8,153,153,11,91,4600,4,-4.7,-9.5,1016.8,0,1,Changping,,,,,,,,,,,,
33730,2017,1,4,9,181,181,22,108,6100,5,-1.5,-9.4,1017.1,0,1.9,Changping,,,,,,,,,,,,
33731,2017,1,4,10,130,151,46,96,4100,3,3.5,-7.9,1017.3,0,1.2,Changping,,,,,,,,,,,,
33732,2017,1,4,11,187,215,31,107,4700,4,2.8,-8.6,1017.3,0,2,Changping,,,,,,,,,,,,
33733,2017,1,4,12,151,151,29,92,3300,10,4.6,-7.9,1016.6,0,1.6,Changping,,,,,,,,,,,,
33734,2017,1,4,13,99,99,17,59,2000,24,5.8,-8.9,1016.2,0,1.9,Changping,,,,,,,,,,,,
33735,2017,1,4,14,118,167,20,69,2200,35,6.3,-7.3,1015.7,0,1.6,Changping,,,,,,,,,,,,
33736,2017,1,4,15,204,204,43,121,4100,25,6.1,-8.2,1015.6,0,1.7,Changping,,,,,,,,,,,,
33737,2017,1,4,16,199,199,42,120,4400,19,6.1,-7.5,1015.5,0,1.2,Changping,,,,,,,,,,,,
33738,2017,1,4,17,234,250,42,148,5500,10,4.9,-7.3,1016.1,0,1.5,Changping,,,,,,,,,,,,
33739,2017,1,4,18,262,271,24,171,5800,3,3.3,-6.1,1016.7,0,0.6,Changping,,,,,,,,,,,,
33740,2017,1,4,19,275,294,19,167,6300,4,1.1,-6.5,1017.4,0,0.9,Changping,,,,,,,,,,,,
33741,2017,1,4,20,267,267,25,145,6200,4,-0.1,-7.4,1017.8,0,0.8,Changping,,,,,,,,,,,,
33742,2017,1,4,21,250,275,13,141,6200,4,-1,-7.8,1018.2,0,0.2,Changping,,,,,,,,,,,,
33743,2017,1,4,22,276,318,17,145,7400,4,0.7,-3.6,1018.7,0,1.9,Changping,,,,,,,,,,,,
33744,2017,1,4,23,345,381,13,159,9100,4,-0.7,-3.6,1019.3,0,1.5,Changping,,,,,,,,,,,,
33745,2017,1,5,0,345,369,7,142,9500,35,-2.5,-3.5,1019.9,0,2.3,Changping,,,,,,,,,,,,
33746,2017,1,5,1,285,381,6,104,7700,2,-2,-2.7,1020.2,0,1.2,Changping,,,,,,,,,,,,
33747,2017,1,5,2,270,368,28,64,5800,2,-2,-2.7,1020.7,0,1.3,Changping,,,,,,,,,,,,
33748,2017,1,5,3,290,414,9,66,6300,2,-2.2,-3.2,1021.1,0,1.5,Changping,,,,,,,,,,,,
33749,2017,1,5,4,321,419,4,53,3100,35,-1.9,-3,1021,0,1.7,Changping,,,,,,,,,,,,
33750,2017,1,5,5,298,397,6,127,6500,3,-1.7,-3.7,1021.3,0,1.1,Changping,,,,,,,,,,,,
33751,2017,1,5,6,289,296,8,134,8300,3,-1.1,-3.1,1021.4,0,1.9,Changping,,,,,,,,,,,,
33752,2017,1,5,7,266,266,9,130,8000,3,-0.6,-2.8,1021.7,0,2.2,Changping,,,,,,,,,,,,
33753,2017,1,5,8,210,210,11,123,7100,2,-0.7,-3.4,1022.4,0,2,Changping,,,,,,,,,,,,
33754,2017,1,5,9,246,252,14,128,7600,4,-0.3,-3.3,1023,0,1.2,Changping,,,,,,,,,,,,
33755,2017,1,5,10,268,268,17,129,7500,4,0.2,-3.2,1023.4,0,1.4,Changping,,,,,,,,,,,,
33756,2017,1,5,11,262,274,17,127,7100,4,0.4,-2.7,1023.7,0,1.1,Changping,,,,,,,,,,,,
33757,2017,1,5,12,280,280,17,125,7300,4,0.8,-2.4,1022.8,0,0.9,Changping,,,,,,,,,,,,
33758,2017,1,5,13,250,250,20,117,6000,4,1.2,-2.2,1021.7,0,1.1,Changping,,,,,,,,,,,,
33759,2017,1,5,14,220,220,22,104,5300,25,1.7,-1.9,1021,0,2.2,Changping,,,,,,,,,,,,
33760,2017,1,5,15,158,158,21,74,3600,24,2.6,-2.7,1021,0,1,Changping,,,,,,,,,,,,
33761,2017,1,5,16,98,98,22,55,2500,38,2.4,-2,1021,0,1.1,Changping,,,,,,,,,,,,
33762,2017,1,5,17,207,241,18,106,4900,10,2,-2.3,1021.2,0,1.3,Changping,,,,,,,,,,,,
33763,2017,1,5,18,258,258,17,117,5600,4,1.8,-2.2,1021.4,0,0.7,Changping,,,,,,,,,,,,
33764,2017,1,5,19,227,227,20,114,500,4,1.6,-2.4,1021.5,0,0.7,Changping,,,,,,,,,,,,
33765,2017,1,5,20,240,240,28,121,5700,5,1.7,-2.6,1021.2,0,0.8,Changping,,,,,,,,,,,,
33766,2017,1,5,21,227,227,30,112,5200,4,1.3,-3.4,1021.1,0,1,Changping,,,,,,,,,,,,
33767,2017,1,5,22,198,198,25,106,4800,4,0.8,-3.1,1021.2,0,0.8,Changping,,,,,,,,,,,,
33768,2017,1,5,23,207,208,26,109,5400,5,-0.1,-3.7,1020.9,0,1,Changping,,,,,,,,,,,,
33769,2017,1,6,0,224,224,29,114,6100,5,-0.3,-4.2,1020.6,0,1,Changping,,,,,,,,,,,,
33770,2017,1,6,1,224,224,25,99,5800,5,-1,-4.5,1020.1,0,0.6,Changping,,,,,,,,,,,,
33771,2017,1,6,2,122,122,14,68,3100,3,-1.2,-4.7,1020,0,1.1,Changping,,,,,,,,,,,,
33772,2017,1,6,3,102,102,9,61,2800,3,-1.8,-5,1019.9,0,1.3,Changping,,,,,,,,,,,,
33773,2017,1,6,4,136,136,11,84,4700,4,-2.2,-5.2,1019.4,0,1.6,Changping,,,,,,,,,,,,
33774,2017,1,6,5,108,108,5,67,3200,3,-2.5,-5.3,1019.1,0,0.8,Changping,,,,,,,,,,,,
33775,2017,1,6,6,115,115,4,76,3700,3,-2.5,-5.2,1019.1,0,0.9,Changping,,,,,,,,,,,,
33776,2017,1,6,7,121,121,3,70,3700,3,-2.8,-5.1,1019.2,0,0.5,Changping,,,,,,,,,,,,
33777,2017,1,6,8,125,127,3,68,4400,4,-2.7,-5,1019.4,0,0.8,Changping,,,,,,,,,,,,
33778,2017,1,6,9,158,158,7,84,5200,4,-1.7,-4.7,1019.6,0,1.5,Changping,,,,,,,,,,,,
33779,2017,1,6,10,258,278,31,113,7400,6,0.7,-3.2,1019.7,0,0.7,Changping,,,,,,,,,,,,
33780,2017,1,6,11,235,260,38,122,600,4,2,-3.5,1019.5,0,1.4,Changping,,,,,,,,,,,,
33781,2017,1,6,12,227,227,33,118,4900,5,2.7,-3.4,1018.2,0,1.5,Changping,,,,,,,,,,,,
33782,2017,1,6,13,3,5,13,2,2300,38,4.1,-3.7,1016.8,0,1,Changping,,,,,,,,,,,,
33783,2017,1,6,14,77,77,3,2,1600,38,4.5,-3.8,1015.9,0,1.6,Changping,,,,,,,,,,,,
33784,2017,1,6,15,158,158,6,6,400,38,4.4,-3.6,1015.5,0,1.6,Changping,,,,,,,,,,,,
33785,2017,1,6,16,181,181,3,75,2400,22,3.9,-3.6,1015.5,0,1.6,Changping,,,,,,,,,,,,
33786,2017,1,6,17,173,173,10,92,300,19,3.1,-3.9,1015.6,0,1.2,Changping,,,,,,,,,,,,
33787,2017,1,6,18,181,196,6,98,3300,22,2.1,-4.4,1016,0,1,Changping,,,,,,,,,,,,
33788,2017,1,6,19,203,203,7,108,3900,4,1.2,-4.1,1016.1,0,0.8,Changping,,,,,,,,,,,,
33789,2017,1,6,20,195,195,7,97,3700,4,0.2,-4.1,1016.1,0,1.2,Changping,,,,,,,,,,,,
33790,2017,1,6,21,182,208,10,102,3900,3,-0.1,-4.2,1016.2,0,1.6,Changping,,,,,,,,,,,,
33791,2017,1,6,22,193,193,16,102,400,3,0.5,-4,1016,0,0.5,Changping,,,,,,,,,,,,
33792,2017,1,6,23,185,185,15,101,3700,2,1.3,-3.8,1015.7,0,1.1,Changping,,,,,,,,,,,,
33793,2017,1,7,0,174,174,13,90,3300,2,1.1,-3.8,1015.4,0,0.9,Changping,,,,,,,,,,,,
33794,2017,1,7,1,168,168,12,68,2600,3,1.2,-3.5,1014.9,0,0.6,Changping,,,,,,,,,,,,
33795,2017,1,7,2,184,184,24,44,2700,3,0.9,-3.6,1015.2,0,0.1,Changping,,,,,,,,,,,,
33796,2017,1,7,3,194,194,8,43,300,2,1,-3.3,1015.1,0,0.1,Changping,,,,,,,,,,,,
33797,2017,1,7,4,209,209,5,35,1800,22,0.9,-3.2,1014.9,0,0.4,Changping,,,,,,,,,,,,
33798,2017,1,7,5,211,211,7,84,3500,3,0.6,-3.5,1014.6,0,0.8,Changping,,,,,,,,,,,,
33799,2017,1,7,6,196,196,13,86,4700,3,0.6,-3.5,1014.5,0,0,Changping,,,,,,,,,,,,
33800,2017,1,7,7,197,216,14,92,5400,3,0.9,-3.4,1014.9,0,1.4,Changping,,,,,,,,,,,,
33801,2017,1,7,8,233,233,21,103,5800,3,1.1,-3.8,1015.2,0,0.6,Changping,,,,,,,,,,,,
33802,2017,1,7,9,228,228,21,90,6100,3,1.2,-3.3,1015.7,0,1.2,Changping,,,,,,,,,,,,
33803,2017,1,7,10,253,297,36,109,6700,4,1.8,-3.3,1016,0,1,Changping,,,,,,,,,,,,
33804,2017,1,7,11,297,297,43,124,7500,4,2.6,-2.7,1015.9,0,1,Changping,,,,,,,,,,,,
33805,2017,1,7,12,257,269,44,114,5900,3,3.4,-3,1015,0,1.2,Changping,,,,,,,,,,,,
33806,2017,1,7,13,244,244,40,105,4800,6,4.1,-3.2,1014.1,0,1.2,Changping,,,,,,,,,,,,
33807,2017,1,7,14,189,189,26,73,3300,15,4.8,-3.2,1013.7,0,0.7,Changping,,,,,,,,,,,,
33808,2017,1,7,15,162,162,18,59,2700,15,4.4,-2,1013.6,0,1.6,Changping,,,,,,,,,,,,
33809,2017,1,7,16,158,158,14,61,2700,11,3.9,-1.7,1014,0,1,Changping,,,,,,,,,,,,
33810,2017,1,7,17,158,158,8,66,2800,6,3.3,-1.3,1014.2,0,1.1,Changping,,,,,,,,,,,,
33811,2017,1,7,18,104,104,10,52,1900,12,3.5,-4.9,1014.6,0,0.7,Changping,,,,,,,,,,,,
33812,2017,1,7,19,144,144,9,65,2700,4,3.3,-2.9,1015.1,0,0.9,Changping,,,,,,,,,,,,
33813,2017,1,7,20,168,168,5,66,3300,3,2.8,-4.4,1015.1,0,1.1,Changping,,,,,,,,,,,,
33814,2017,1,7,21,125,125,8,58,2500,5,3,-7.8,1015.1,0,1.4,Changping,,,,,,,,,,,,
33815,2017,1,7,22,42,42,18,32,1100,22,2.4,-7.5,1015.3,0,1.2,Changping,,,,,,,,,,,,
33816,2017,1,7,23,42,42,14,26,100,30,2.4,-9.5,1015.3,0,2.8,Changping,,,,,,,,,,,,
33817,2017,1,8,0,27,27,11,25,800,34,2.1,-9.8,1015.2,0,3.2,Changping,,,,,,,,,,,,
33818,2017,1,8,1,18,19,9,34,800,26,1.5,-10.7,1014.8,0,4.4,Changping,,,,,,,,,,,,
33819,2017,1,8,2,23,23,8,22,700,38,1,-10.2,1014.8,0,2.6,Changping,,,,,,,,,,,,
33820,2017,1,8,3,27,27,8,17,700,42,0.8,-10.7,1014.8,0,2.8,Changping,,,,,,,,,,,,
33821,2017,1,8,4,19,19,9,26,800,33,0.1,-10.7,1014.7,0,2,Changping,,,,,,,,,,,,
33822,2017,1,8,5,15,15,9,30,800,29,0.2,-11.2,1014.4,0,4,Changping,,,,,,,,,,,,
33823,2017,1,8,6,20,20,8,30,800,29,0.1,-11,1014.3,0,2.8,Changping,,,,,,,,,,,,
33824,2017,1,8,7,23,23,10,34,900,26,-1.1,-11,1014.8,0,3,Changping,,,,,,,,,,,,
33825,2017,1,8,8,27,27,10,31,800,29,-1.4,-11,1015.1,0,1.5,Changping,,,,,,,,,,,,
33826,2017,1,8,9,22,22,13,28,800,35,-0.2,-10.7,1015.2,0,2.2,Changping,,,,,,,,,,,,
33827,2017,1,8,10,26,26,16,26,800,41,1.8,-11,1014.7,0,2.4,Changping,,,,,,,,,,,,
33828,2017,1,8,11,22,22,15,29,800,41,2.8,-10.8,1014.2,0,2.9,Changping,,,,,,,,,,,,
33829,2017,1,8,12,22,25,13,26,700,45,4.8,-10.5,1012.8,0,5.3,Changping,,,,,,,,,,,,
33830,2017,1,8,13,18,59,8,24,500,47,5.8,-10.9,1011.8,0,5.5,Changping,,,,,,,,,,,,
33831,2017,1,8,14,25,29,8,25,500,49,6.1,-10.6,1010.7,0,5.5,Changping,,,,,,,,,,,,
33832,2017,1,8,15,17,34,7,27,500,48,6.2,-11,1011,0,4,Changping,,,,,,,,,,,,
33833,2017,1,8,16,19,32,9,26,600,51,5.8,-10.9,1011.2,0,5.1,Changping,,,,,,,,,,,,
33834,2017,1,8,17,21,30,11,37,700,43,5.1,-11.1,1011.5,0,4.8,Changping,,,,,,,,,,,,
33835,2017,1,8,18,24,33,12,41,800,40,4.4,-12.1,1012.1,0,2.8,Changping,,,,,,,,,,,,
33836,2017,1,8,19,23,30,11,43,800,37,2.6,-11.4,1013,0,1.1,Changping,,,,,,,,,,,,
33837,2017,1,8,20,14,22,8,30,600,47,2.5,-11.4,1013.6,0,2,Changping,,,,,,,,,,,,
33838,2017,1,8,21,14,18,6,22,500,54,2.4,-11.9,1014.2,0,2.6,Changping,,,,,,,,,,,,
33839,2017,1,8,22,14,22,6,24,600,50,1.1,-11.7,1015.1,0,2.1,Changping,,,,,,,,,,,,
33840,2017,1,8,23,15,25,5,17,500,55,1.2,-12.3,1016.4,0,3.6,Changping,,,,,,,,,,,,
33841,2017,1,9,0,12,34,3,15,500,52,0.7,-12.4,1017.1,0,3.7,Changping,,,,,,,,,,,,
33842,2017,1,9,1,6,23,4,12,100,42,0.2,-12.8,1017.4,0,2.8,Changping,,,,,,,,,,,,
33843,2017,1,9,2,9,32,18,12,400,23,-0.1,-13.1,1018.1,0,6.1,Changping,,,,,,,,,,,,
33844,2017,1,9,3,12,29,7,12,300,27,-0.9,-13.5,1018.9,0,4.9,Changping,,,,,,,,,,,,
33845,2017,1,9,4,11,29,4,9,200,55,-1.7,-14.2,1019.1,0,5.3,Changping,,,,,,,,,,,,
33846,2017,1,9,5,7,21,4,18,200,31,-1.9,-14.4,1019.4,0,4.9,Changping,,,,,,,,,,,,
33847,2017,1,9,6,7,19,4,16,400,43,-2.3,-14.4,1019.5,0,4.5,Changping,,,,,,,,,,,,
33848,2017,1,9,7,8,22,4,16,400,42,-2.4,-14.8,1019.8,0,4.7,Changping,,,,,,,,,,,,
33849,2017,1,9,8,13,24,5,20,500,41,-2.425,-14.8,1020,0,2.4,Changping,,,,,,,,,,,,
33850,2017,1,9,9,13,18,8,25,700,38,-2.475,-14.8,1020,0,4.7,Changping,,,,,,,,,,,,
33851,2017,1,9,10,9,10,7,18,600,44,-0.825,-14.6,1020,0,4.7,Changping,,,,,,,,,,,,
33852,2017,1,9,11,13,13,6,16,500,48,0.675,-14.6,1019.25,0,3.6,Changping,,,,,,,,,,,,
33853,2017,1,9,12,10,10,5,17,400,50,2.075,-14.3,1018.5,0,5.3,Changping,,,,,,,,,,,,
33854,2017,1,9,13,12,12,5,16,400,52,3.35,-14.3,1016.5,0,4.4,Changping,,,,,,,,,,,,
33855,2017,1,9,14,14,16,7,18,400,53,4.7,-14.4,1015.2,0,2.5,Changping,,,,,,,,,,,,
33856,2017,1,9,15,11,26,5,22,400,49,5.275,-14.4,1014,0,1.8,Changping,,,,,,,,,,,,
33857,2017,1,9,16,21,41,7,37,600,40,4.8,-13.1,1013.75,0,2.1,Changping,,,,,,,,,,,,
33858,2017,1,9,17,35,75,8,46,700,35,3.3,-11.1,1013,0,1.2,Changping,,,,,,,,,,,,
33859,2017,1,9,18,44,81,10,60,100,22,1.9,-11,1013.5,0,1.8,Changping,,,,,,,,,,,,
33860,2017,1,9,19,50,81,10,72,1100,9,0.8,-11.5,1013,0,2,Changping,,,,,,,,,,,,
33861,2017,1,9,20,61,87,10,73,1400,5,-0.075,-11.6,1013.75,0,2.4,Changping,,,,,,,,,,,,
33862,2017,1,9,21,60,92,8,69,1400,7,-0.7,-11.3,1014,0,2.2,Changping,,,,,,,,,,,,
33863,2017,1,9,22,71,96,10,70,1500,6,-1.875,-11.6,1014,0,1.9,Changping,,,,,,,,,,,,
33864,2017,1,9,23,66,84,9,71,1700,5,-2.275,-11.3,1014.75,0,0.6,Changping,,,,,,,,,,,,
33865,2017,1,10,0,56,59,9,62,1300,9,-1.72,-11.6,1016,0,1,Changping,,,,,,,,,,,,
33866,2017,1,10,1,20,34,9,26,700,41,-0.366666667,-14.7,1017.333333,0,2.4,Changping,,,,,,,,,,,,
33867,2017,1,10,2,5,34,4,14,500,51,-0.875,-16,1018.5,0,3.1,Changping,,,,,,,,,,,,
33868,2017,1,10,3,5,28,4,15,600,49,-2.04,-16.7,1019.6,0,2.8,Changping,,,,,,,,,,,,
33869,2017,1,10,4,5,19,5,13,700,51,-3.325,-16.6,1020,0,1.9,Changping,,,,,,,,,,,,
33870,2017,1,10,5,4,18,6,28,700,37,-3.633333333,-16.8,1020,0,1.4,Changping,,,,,,,,,,,,
33871,2017,1,10,6,13,19,10,35,800,33,-4.52,-16.7,1020,0,0.9,Changping,,,,,,,,,,,,
33872,2017,1,10,7,17,25,11,40,100,27,-4.657142857,-16.6,1021,0,1,Changping,,,,,,,,,,,,
33874,2017,1,10,9,16,41,11,39,1100,29,-3.7,-17.1,1022,0,2.3,Changping,,,,,,,,,,,,
33875,2017,1,10,10,11,13,8,23,800,45,-0.9,-18,1022,0,3.4,Changping,,,,,,,,,,,,
33876,2017,1,10,11,12,24,6,22,600,45,0.475,-18.1,1022,0,5.7,Changping,,,,,,,,,,,,
33877,2017,1,10,12,6,30,5,22,500,46,1.425,-18.4,1021.25,0,7.3,Changping,,,,,,,,,,,,
33878,2017,1,10,13,9,37,6,21,500,48,2.225,-18.2,1020.25,0,6.3,Changping,,,,,,,,,,,,
33879,2017,1,10,14,7,51,6,21,500,48,2.85,-18,1019.25,0,6.7,Changping,,,,,,,,,,,,
33880,2017,1,10,15,9,60,6,25,500,43,3.27,-18.2,1019,0,5.5,Changping,,,,,,,,,,,,
